Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
GCF_015207705.1,Nostoc sp. LEGE 06077,Portugal: Minho estuary; Seixas,water sample; on the estuary shore,7337961,filament,40.58987231,99.26,0.44,salt,temperate
GCF_015207735.1,Phormidium sp. LEGE 05292,Portugal: on an indoor aquarium wall; at Porto,biofilm,7498970,filament,40.30454849,98.81,1.11,fresh,temperate
GCF_015207935.1,Synechocystis salina LEGE 00041,Portugal: Praia de Espinho,sea water sample; intertidal zone; from a tide pool,3949467,single,48.17019613,99.78,0.22,salt,temperate
GCF_015207985.1,Synechocystis salina LEGE 00031,Portugal: Praia de Moledo; Caminha,intertidal zone; Sabellaria alveolata reef,3969658,single,48.09996226,99.56,0.22,salt,temperate
GCA_015295985.1,Synechococcus sp. M44_DOE_062,Canada: British Columbia,hot spring sediment,2925579,single,58.15450548,100,0,mineral,temperate
GCA_015296065.1,Oscillatoriaceae cyanobacterium M33_DOE_052,Canada: British Columbia,hot spring sediment,6239239,filament,49.68580303,99.27,0.76,mineral,temperate
GCA_015296075.1,Leptolyngbyaceae cyanobacterium M33_DOE_097,Canada: British Columbia,hot spring sediment,6960501,filament,48.60822518,99.53,0.71,mineral,temperate
GCA_015296085.1,Trichormus sp. M33_DOE_039,Canada: British Columbia,hot spring sediment,7018248,filament,40.86673768,99.33,0.44,mineral,temperate
GCA_015708255.1,Planktothrix agardhii KL2,USA:Queens; New York; Kissena Lake,surface lake water freshwater algal bloom,4765279,filament,39.62644668,99.56,0.65,fresh,temperate
GCA_015708265.1,Cylindrospermopsis raciborskii KL1,USA:Queens; New York; Kissena Lake,surface lake water freshwater algal bloom,3657391,filament,40.07232869,99.7,0.3,fresh,temperate
GCF_015840335.1,Synechococcus sp. CBW1108,USA: Chesapeake Bay in Baltimore; Maryland,Chesapeake Bay,3226220,single,63.69330052,99.18,1.36,salt,temperate
GCF_015840525.1,Synechococcus sp. CBW1006,USA: Chesapeake Bay in Baltimore; Maryland,Chesapeake Bay,3860130,single,64.56878395,100,1.77,salt,temperate
GCF_015840715.1,Synechococcus sp. CBW1004,USA: Chesapeake Bay in Baltimore; Maryland,Chesapeake Bay,3672318,single,67.0570468,99.73,0.27,salt,temperate
GCF_015840915.1,Synechococcus sp. CBW1002,USA: Chesapeake Bay in Baltimore; Maryland,Chesapeake Bay,3854122,single,64.63710801,100,1.36,salt,temperate
GCF_015841355.1,Synechococcus sp. CBW1107,USA: Chesapeake Bay estuary,Chesapeake Bay estuary,3202093,single,66.2650023,99.73,0.27,salt,temperate
GCA_016208305.1,Oscillatoriophycideae cyanobacterium NC_groundwater_1537_Pr4_S-0.65um_50_18,USA: California; Middletown,groundwater,6939892,filament,50.13482923,99.06,1.3,fresh,temperate
GCA_016463595.1,Synechococcales cyanobacterium SupBloom_Metag_052,USA: western arm Lake Superior,freshwater cyanobacterial bloom,1962409,single,65.56262964,97.01,0.59,fresh,temperate
GCF_016632315.1,Oxynema sp. CENA135,Brazil: Cardoso Island; Cananeia,mangrove soil,6235022,single,51.60257596,99.29,1.22,soil,temperate
GCA_016743215.1,Geminocystis sp. GBBB08,Brazil: Carolina; Maranhao,non-axenic (unialgal) sample in BG-11 medium,4101793,single,32.73836618,98.94,0.44,NA,temperate
GCA_016743225.1,Nostoc sp. GBBB01,Brazil: Carolina; Maranhao,non-axenic (unialgal) sample in BG-11 medium,8131703,filament,40.7396758,99.56,2.11,NA,temperate
GCA_016743235.1,Pantanalinema sp. GBBB05,Brazil: Carolina; Maranhao,non-axenic (unialgal) sample in BG-11 medium,7181771,filament,48.42550674,99.06,0.47,NA,temperate
GCF_016888125.1,Spirulina major CCY15215,Netherlands: Schiermonikoog; North Sea beach,Microbial mat,5514817,filament,42.57798582,99.11,0.56,salt,temperate
GCA_016903675.1,Stigonema ocellatum SAG 48.90 = DSM 106950,Germany: Allgaeu; Sphagnum bog,non-axenic culture deposited to culture collection,10354469,filament,43.80643759,98.55,2.35,fresh,temperate
GCA_017115045.1,Nostoc sp. NMS8,Panama,lichen thallus,7928202,filament,41.56054221,99.33,0.48,lichen,temperate
GCA_017115105.1,Nostoc sp. NMS2,Canada: Nova Scotia,lichen thallus,7571466,filament,41.8627474,98.89,0.22,lichen,cold-freezing
GCA_017115145.1,Nostoc sp. NMS1,Canada: Nova Scotia,lichen thallus,7881170,filament,41.77408242,98.89,0.22,lichen,cold-freezing
GCA_017115165.1,Nostoc sp. LPT,USA: North Carolina; Durham County,whole lichen thallus containing the lichenizing fungus Leptogium austroamericanum; the cyanobacterial photobiont; and possibly endolichenic fungi and prokaryotes,8613793,filament,41.53480148,99.78,0.56,lichen,temperate
GCF_017164015.1,Nostoc sp. UHCC 0702,Finland: Villahteen Kukkanen,lake,8587404,filament,41.62550172,99.33,0.44,NA,temperate
GCA_017302695.1,Leptolyngbya sp. UWPOB_LEPTO1,USA: WI,activated sludge,6800371,filament,46.86473723,99.41,1.26,waste water,temperate
GCA_017346795.1,Dolichospermum sp. UKL201,USA: Agency Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5294355,filament,38.19575756,99.67,0,fresh,temperate
GCA_017346815.1,Dolichospermum sp. LBC05a,USA: Perry Sth; Lake Billy Chinook; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5178591,filament,38.21274938,99.67,0.11,fresh,temperate
GCA_017346835.1,Dolichospermum sp. DL01,USA: Diamond Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,4827232,filament,38.18898698,99.67,0,fresh,temperate
GCA_017346855.1,Aphanizomenon flos-aquae DEX188,USA: Dexter Reservoir; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,4538078,filament,37.06331182,99.89,0,fresh,temperate
GCA_017346875.1,Aphanizomenon flos-aquae KM1D3_PB,Lithuania: Curonian Lagoon,unialgal non-axenic culture; originally established from brackish water collected from Curonian Lagoon Lithuania in 2012,6071322,filament,38.38564319,99.44,0.22,salt,temperate
GCA_017355425.1,Dolichospermum sp. DET69,USA: Blowout Creek arm; Detroit Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,6040057,filament,37.80434522,99.67,0,fresh,temperate
GCA_017355625.1,Dolichospermum sp. DET73,USA: Heater Creek arm; Detroit Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5233469,filament,38.06473297,99.67,1.11,fresh,temperate
GCA_017355645.1,Dolichospermum sp. DEX182a,USA: Dexter Reservoir; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5014232,filament,38.28759818,98.22,1.11,fresh,temperate
GCA_017355655.1,Dolichospermum sp. DEX189,USA: Lookout Point Reservoir; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,6054507,filament,38.38689096,97.67,0.11,fresh,temperate
GCA_017355665.1,Aphanizomenon flos-aquae CP01,USA: Crane Prairie Reservoir; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,4356503,filament,36.94695034,99.22,0.89,fresh,temperate
GCA_017355725.1,Anabaena sp. 54,Finland: Lake Saaskjarvi,unialgal non-axenic culture; originally established from Lake Saaskjarvi; Finland in 1986,5567125,filament,38.33477783,98.33,0.19,fresh,cold-freezing
GCA_017746755.1,Cyanobacteria bacterium SID2,Belize: Carrie Bow Cay,cyanobacterial mat on coral surface,5833092,NA,50.31355583,99.76,0.47,salt,temperate
GCA_017746765.1,Cyanobacteria bacterium SBC,USA: Fort Lauderdale; FL,cyanobacterial mat on coral surface,5873740,NA,50.38946225,98.82,0.47,salt,temperate
GCA_017746885.1,Roseofilum sp. SBFL,USA: Fort Lauderdale; FL,cyanobacterial mat on coral surface,5300422,filament,45.0012848,97.78,0.22,salt,temperate
GCA_017855335.1,Synechococcus sp. CPBay_Sum27G08_23,USA: Chesapeake Bay,Chesapeake Bay,2435328,single,55.11479357,98.06,0,salt,temperate
GCA_017859255.1,Vulcanococcus sp. DEBay_Sum29NL08_54,USA: Delaware Bay,bay water summer N sample 29 PSU in less than .8 micron size fraction,2052486,single,64.55129234,97.55,0.54,salt,temperate
GCA_017859715.1,Synechococcus sp. DEBay_Sum29DG08_34,USA: Delaware Bay,bay water summer D sample 29 PSU in greater than .8 micron size fraction,2453810,single,55.12278045,97.42,0.66,salt,temperate
GCA_018224285.1,Arthrospira sp. SH-MAG29,Chile: Tarapaca Salar de Huasco,shallow sediments of the Salar de Huasco lagoon,4854096,filament,44.38531912,97.71,0.66,salt,temperate
GCA_018258955.1,Roseofilum reptotaenium RR100-1,Virgin Islands,Diploria strigosa and Siderastrea siderea,5610340,filament,44.89755414,99.11,0.22,salt,temperate
GCF_018282115.1,Synechocystis sp. PCC 7338,USA,Tidal pool,3832803,single,47.73642162,99.56,0.22,salt,temperate
GCA_018295965.1,Dolichospermum sp. DET67,USA: Heater Creek arm; Detroit Lake; Oregon,lake water,6126501,filament,37.78897612,99.67,0,fresh,temperate
GCA_018295975.1,Dolichospermum sp. DET50,USA: Heater Creek arm; Detroit Lake; Oregon,lake water,6065531,filament,37.80396143,99.67,0,fresh,temperate
GCA_018295985.1,Dolichospermum sp. DET66,USA: Blowout Creek arm Detroit Reservoir; Oregon,lake water,6113795,filament,37.79487209,99.67,0,fresh,temperate
GCF_018336915.1,Acaryochloris marina S15,USA: Shelter Cove; CA,surface of Pikea pinnata,7112772,agregate,46.78225311,99.53,2.71,salt,temperate
GCA_018399015.1,Cyanobium sp. M30B3,Russia: Republic of Khakassia; Shirinsky District,Lake Shunet,3180296,single,67.76476152,99.73,0.54,fresh,cold-freezing
GCA_018447705.1,Dolichospermum sp. BR01,USA: Blue River Reservoir; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5575959,filament,38.18822915,99.67,0.22,fresh,temperate
GCA_018447755.1,Dolichospermum sp. OL01,USA: Sunset Cove; Odell Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5274066,filament,38.19471319,99.67,0.11,fresh,temperate
GCA_018447775.1,Dolichospermum sp. WA123,USA: Browns Lake; Washington,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,4984963,filament,38.28349378,99.67,0,fresh,temperate
GCA_018457135.1,Trichodesmium erythraeum GBRTRLIN201,Australia:Great Barrier Reef Lagoon,non-axenic enrichment culture inoculated with Trichodesmium trichomes collected from seawater; maintained in YBC-II_artificial_seawater; biomass sampled from culture in 2019-05 for DNA extraction,7221323,filament,33.96884651,99.27,0.22,salt,temperate
GCF_018502385.1,Synechococcus sp. LA31,USA: Narragansett Bay Time Series; Narragansett; Rhode Island,Water collected as part of the Narragansett Bay Time Series,2752151,single,63.24232363,99.46,0.54,salt,temperate
GCA_018969285.1,Cyanobacteria bacterium REEB494,China: Jiangxi,rare earth elements-acid mine drainage (REEs-AMD) contaminated river water,3760964,NA,40.09985206,99.63,0.22,mineral,temperate
GCA_018970085.1,Cyanobacteria bacterium REEB459,China: Jiangxi,rare earth elements-acid mine drainage (REEs-AMD) contaminated river water,3241887,NA,55.00009717,98.91,1.59,mineral,temperate
GCF_019038415.1,Synechococcus sp. CCY 9618,Netherlands: Vinkeveen,ENVO:00002011,2927161,single,68.34396878,99.73,0,fresh,cold-freezing
GCA_019038465.1,Synechococcus sp. CCY 0621,Netherlands: Leiden,ENVO:00002011,3230971,single,67.44845435,99.73,0,fresh,cold-freezing
GCA_019038475.1,Synechococcus sp. CCAP 1479/13,United Kingdom: Lake Windermere,ENVO:00002011,3299582,single,69.32235659,100,0.54,fresh,cold-freezing
GCA_019038515.1,Synechococcus sp. CCAP 1479/10,United Kingdom: Lake Windermere,ENVO:00002011,3313705,single,69.33088492,100,0.82,fresh,cold-freezing
GCA_019038535.1,Synechococcus sp. CCAP 1479/9,United Kingdom: Lake Windermere,ENVO:00002011,3288920,single,69.36094523,99.73,0.27,fresh,cold-freezing
GCF_019104765.1,Synechococcus sp. HK05,China: The Pearl River Estuary,estuarine water [ENVO:01000301],2527587,single,64.84262151,100,0.82,salt,temperate
GCA_019192545.1,Rivularia sp. (in: Bacteria),Pacific Ocean: Station ALOHA,Trichodesmium-associated heterocystous diazotroph (hetDA) enrichment; trichodesmium colony originally collected aboard the R/V Kilo Moana (KM10-13) near Station ALOHA,9193454,filament,37.25195123,99.33,1.26,salt,temperate
GCA_019264515.1,Vulcanococcus sp.,USA: New York; Conesus Lake,lake water,2602461,single,64.58506006,100,1.36,fresh,temperate
GCA_019264575.1,Vulcanococcus sp.,USA: New York; Conesus Lake,lake water,2671570,single,64.42762121,100,0.82,fresh,temperate
GCA_019358835.1,Tildeniella torsiva UHER 1998/13D,Slovakia: Slovak Paradise National Park; Hrabusice; Kosice Region,subaerial limestone,5838599,filament,57.10974499,99.73,1.36,mineral,temperate
GCA_019358855.1,Timaviella obliquedivisa GSE-PSE-MK23-08B,USA: Grand Staircase Escalante National Monument; Utah,wet wall hanging garden on a sandstone rock wall in the Carmel-Page formation; partly covered with organic debris; mosses and vascular plants,4911535,filament,47.56743055,99.29,0.63,fresh,temperate
GCA_019358875.1,Symplocastrum torsivum CPER-KK1,USA: Central Plains Experimental Range; Colorado,short-grass prairie soil,7803281,filament,45.859261,99.11,1.44,soil,temperate
GCA_019358895.1,Tildeniella nuda ZEHNDER 1965/U140,Switzerland: Stansstaad; Zurih,wet stone wall,6082730,filament,50.72834073,98.23,0.71,fresh,temperate
GCA_019358915.1,Trichormus sp. ATA11-4-KO1,Chile: Atacama Desert; Tarapaca Region,soil; at the bottom of a wash with some plants,5970731,filament,41.69211442,99.33,0.44,soil,temperate
GCA_019358945.1,Stenomitos rutilans HA7619-LM2,USA: Waikapalae cave; Hawaii,cave walls,7280192,filament,50.34371346,97.88,1.02,soil,temperate
GCA_019358975.1,Trichocoleus desertorum ATA4-8-CV12,Chile: Atacama Region; Atacama Desert,soil; soft; sandy surface with really good crust,6064330,filament,49.00815094,99.76,1.18,soil,temperate
GCA_019358985.1,Tolypothrix brevis GSE-NOS-MK-07-07A,USA: Grand Staircase Escalante National Monument; Utah,wet rock wall; Lower Calf Creek Falls; Navajo sandstone,6520896,filament,41.16938838,99.52,0.48,fresh,temperate
GCA_019359015.1,Spirirestis rafaelensis WJT71-NPBG6,USA: Pinto Wells; Joshua Tree National Park; Colorado Desert; CA,granitic soil,7071876,filament,42.02504399,98.8,0.74,soil,temperate
GCA_019359035.1,Scytonematopsis contorta HA4267-MV1,USA: Palolo Valley Trail; Honolulu; Hawaii,mud from waterfall,10657584,filament,38.4245998,99.28,1.14,fresh,temperate
GCA_019359045.1,Scytolyngbya sp. HA4215-MV1,USA: Laie Falls; Oahu; Hawaii,sample from the stream from Laie Falls,6618851,filament,48.67643946,99.29,0.71,fresh,temperate
GCA_019359075.1,Scytonema hyalinum WJT4-NPBG1,USA: Mojave Desert; Joshua Tree National Park; California,well developed soil crust,8399904,filament,43.64537976,98.07,0.76,soil,temperate
GCA_019359095.1,Pleurocapsa minor HA4230-MV1,USA: Nuuanu Pali Lookout; Hawaii,cement on trail by cement wall,5636891,single,39.77930388,98.69,0.51,soil,temperate
GCA_019359155.1,Pegethrix bostrychoides GSE-TBD4-15B,USA: Grand Staircase-escalante National Monument; Utah,sandstone seep wall,5724334,filament,53.90487348,97.52,1.26,fresh,temperate
GCA_019359165.1,Plectolyngbya sp. WJT66-NPBG17,USA: Mojave Desert; Joshua Tree National Park; California,well developed soil crust,6031298,filament,47.84295188,98.31,1.18,soil,temperate
GCA_019359175.1,Phormidium tanganyikae FI6-MK23,USA: Fort Irwin; California,granitic soil; undisturbed desert,5741135,filament,47.78931344,98.55,0,soil,temperate
GCA_019359215.1,Nostoc indistinguendum CM1-VF10,USA: Clark Mountains; San Bernardino; California,gravelly and rocky gypsiferous soil near a gypsum mine,8868606,filament,41.80766402,98.81,0.89,soil,temperate
GCA_019359235.1,Oscillatoria princeps RMCB-10,Austria: Lower Austria; Lunzer Lake,blue-green mat floating on water surface of lake,8493665,filament,54.09663555,98.84,1.24,fresh,cold-freezing
GCA_019359245.1,Nostoc desertorum CM1-VF14,USA: Clark Mountains; San Bernardino; California,rocky gypsiferous soil,8704112,filament,41.51794003,99.56,0.78,soil,temperate
GCA_019359275.1,Myxacorys chilensis ATA2-1-KO14,Chile: Coquimbo Region; Atacama Desert,soil; very fine sand with crust,5876969,filament,48.19378833,97.05,0.71,soil,temperate
GCA_019359285.1,Nodosilinea sp. WJT8-NPBG4,USA: Pinto Basin; Colorado Desert; California,soil; lower alluvial fan with plants; and algal crusts,5911223,filament,55.32680801,98.91,1.1,soil,temperate
GCA_019359315.1,Myxacorys californica WJT36-NPBG1,USA: California; Joshua Tree National Park; Mojave Desert,sandy; gravelly soil from granitic outcrops; plants and well developed algal crusts,5966494,filament,48.39966319,98.82,0.35,soil,temperate
GCA_019359325.1,Mojavia pulchra JT2-VF2,USA: Cadiz Valley; Joshua Tree National Park; CA,desert soil,8192881,single,41.58765396,99.11,0.85,soil,temperate
GCA_019359355.1,Microcoleus vaginatus WJT46-NPBG5,USA: California; Joshua Tree National Park; Colorado Desert,sandy; gravelly soil,6457322,filament,46.39311777,99.56,0.58,soil,temperate
GCA_019359375.1,Lyngbya sp. HA4199-MV5,USA: Ahupuaa O Kahana State Park; Hawaii,soil with bryophytes and blackish mats,6912620,filament,51.10081272,98.82,0.47,soil,temperate
GCA_019359395.1,Komarekiella atlantica HA4396-MV6,USA: Theobald House; Kauai; HI,Cyanobacterial mat from puddle beside house,7783819,single,41.53730964,99.56,0.45,fresh,temperate
GCA_019359415.1,Iphinoe sp. HA4291-MV1,USA: Maunawili Falls; Hawaii,trail next to Maunawili Fall,7360925,NA,42.55584726,97.83,2.41,fresh,temperate
GCA_019359445.1,Kastovskya adunca ATA6-11-RM4,Chile: Atacama Desert,soil and gravel on top; site at the top of the trail walking to the Pacific Ocean,5085095,filament,47.63220746,99.78,0,soil,temperate
GCA_019359495.1,Goleter apudmare HA4340-LM2,USA: Maniniholo cave; Kauai; Hawaii,cave wall; scraping from roof of cave near entrance,6711310,NA,42.17598353,98.22,0.22,soil,temperate
GCA_019359505.1,Drouetiella hepatica Uher 2000/2452,Slovakia: Slovak Paradise National Park; Hrabusice; Kosice Region,subaerial limestone,6416890,filament,50.14570921,99.29,0.84,mineral,temperate
GCA_019359515.1,Desmonostoc vinosum HA7617-LM4,USA: Waikapalae cave; Hawaii,cave wall,7214837,filament,41.50663418,97.56,0.67,soil,temperate
GCA_019359595.1,Cyanomargarita calcarea GSE-NOS-MK-12-04C,USA: Grand Staircase Escalante National Monument; Utah,wet limestone wall in the Sheep Creek Drainage,7921124,filament,41.45053152,99.76,1.02,fresh,temperate
GCA_019359615.1,Cyanosarcina radialis HA8281-LM2,USA: Makauwahi cave; Hawaii,damp rock above a pool in the cave,6498097,agregate,46.4804542,99.93,1.93,fresh,temperate
GCA_019359625.1,Brasilonema octagenarum HA4186-MV1,USA: Manoa Valley; Hawaii,wet wall collection from an east facing slope at the Manoa Valley overlook,8066605,filament,42.54879221,99.52,2.17,soil,temperate
GCA_019359675.1,Calothrix sp. FI2-JRJ7,USA: Red Pass Lake area; Fort Irwin; California,granitic desert soil,8663394,filament,39.05961105,98.91,1.14,soil,temperate
GCA_019359695.1,Brasilonema angustatum HA4187-MV1,USA: Manoa Valley; Honolulu; Hawaii,moss bank soil,8509522,filament,42.41204148,98.8,1.33,soil,temperate
GCA_019359725.1,Aphanocapsa lilacina HA4352-LM1,USA: Maniniholo cave; near Haena; Kauai; HI,near cave entrance; scraping from roof of cave,4198540,single,62.40824191,97.44,1.28,soil,temperate
GCA_019359745.1,Aphanothece saxicola GSE-SYN-MK-01-06B,USA: Grand Staircase Escalante National Monument; Utah,wet rock wall,3247837,single,67.80478823,99.73,0.41,fresh,temperate
GCA_019359795.1,Aetokthonos hydrillicola CCALA 1050,USA: South Carolina,underside of aquatic plants in freshwater lake,9546647,filament,40.81171117,99.04,0.72,fresh,temperate
GCF_019598945.1,Sphaerospermopsis torques-reginae ITEP-024,Brazil: Tapacura reservoir; Pernambuco,fresh water [ENVO:00002011],5254542,filament,37.44995187,99.44,0,NA,temperate
GCF_019924095.1,Synechocystis sp. PCC 7339,USA,Tidal pool,3876863,single,47.59773559,99.34,0.22,salt,temperate
GCA_020244565.1,Microcystis sp. M62BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5236937,single,42.72388612,98.57,0.37,fresh,temperate
GCA_020244575.1,Microcystis sp. M61BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5272723,single,42.68339148,98.79,0.37,fresh,temperate
GCA_020244585.1,Microcystis sp. M59BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5259998,single,42.72033944,99.01,0.37,fresh,temperate
GCA_020244595.1,Microcystis sp. M63BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5283959,single,42.71528223,98.79,0.48,fresh,temperate
GCA_020244605.1,Microcystis sp. M60BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5335425,single,42.6433883,99.01,0.37,fresh,temperate
GCA_020244665.1,Microcystis sp. M53BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5316680,single,42.69440704,98.79,0.37,fresh,temperate
GCA_020244685.1,Microcystis sp. M54BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5262926,single,42.60939637,99.23,0.8,fresh,temperate
GCA_020244705.1,Microcystis sp. M55BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5284774,single,42.70322629,98.9,0.37,fresh,temperate
GCA_020244715.1,Microcystis sp. M57BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5266927,single,42.64213269,99.01,0.58,fresh,temperate
GCA_020244765.1,Microcystis sp. M51BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5287563,single,42.68938261,99.01,0.37,fresh,temperate
GCA_020244875.1,Microcystis sp. M44BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5276330,single,42.72496224,98.79,0.37,fresh,temperate
GCA_020244895.1,Microcystis sp. M43BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5353253,single,42.67321197,99.01,0.37,fresh,temperate
GCA_020244905.1,Microcystis sp. M42BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5379317,single,42.6680376,99.01,1.35,fresh,temperate
GCA_020244965.1,Microcystis sp. M41BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5293257,single,42.67788245,99.01,0.37,fresh,temperate
GCA_020244995.1,Microcystis sp. M38BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5475269,single,42.6199699,99.01,0.44,fresh,temperate
GCA_020245035.1,Microcystis sp. M40BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5307646,single,42.69938123,99.67,0.37,fresh,temperate
GCA_020245055.1,Microcystis sp. M39BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5261142,single,42.71401532,98.68,0.37,fresh,temperate
GCA_020245085.1,Microcystis sp. M34BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5313427,single,42.69686965,98.79,0.8,fresh,temperate
GCA_020245145.1,Microcystis sp. M29BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5285179,single,42.68194133,98.79,0.8,fresh,temperate
GCA_020245175.1,Microcystis sp. M26BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5374924,single,42.73407401,98.79,0.37,fresh,temperate
GCA_020245205.1,Microcystis sp. M27BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5313986,single,42.67709776,99.01,0.37,fresh,temperate
GCA_020245245.1,Microcystis sp. M25BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5293260,single,42.70687629,99.01,0.37,fresh,temperate
GCA_020245265.1,Microcystis sp. M19BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),4774355,single,42.78479501,99.67,0.4,fresh,temperate
GCA_020245285.1,Microcystis sp. M31BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),4849909,single,42.68519265,99.23,0.29,fresh,temperate
GCA_020245305.1,Microcystis sp. M20BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),4785442,single,42.75701179,99.67,0.4,fresh,temperate
GCA_020245415.1,Microcystis sp. M18BS1,Brazil: Belo Horizonte;Pampulha lake,freshwater surface (50 cm depth),5326101,single,42.65198876,99.01,0.37,fresh,temperate
GCA_020245465.1,Microcystis sp. M087S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4561942,single,42.69251998,97.04,0.51,fresh,cold-freezing
GCA_020245485.1,Microcystis sp. M091S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4704747,single,42.8255547,99.67,0.07,fresh,cold-freezing
GCA_020245505.1,Microcystis sp. M080S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4537832,single,42.49278069,97.04,0.07,fresh,cold-freezing
GCA_020245525.1,Microcystis sp. M069S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4748065,single,42.82395039,99.67,0.07,fresh,cold-freezing
GCA_020245555.1,Microcystis sp. M064S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4720467,single,42.78847834,99.67,0.29,fresh,cold-freezing
GCA_020245585.1,Microcystis sp. M054S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4706373,single,42.76395007,99.45,0.07,fresh,cold-freezing
GCA_020245605.1,Microcystis sp. M061S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4614262,single,43.25250712,99.01,0.29,fresh,cold-freezing
GCA_020245625.1,Microcystis sp. M049S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4657893,single,42.97522506,98.57,0.29,fresh,cold-freezing
GCA_020245635.1,Microcystis sp. M046S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4912543,single,42.48317012,97.26,0.37,fresh,cold-freezing
GCA_020245655.1,Microcystis sp. M045S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4890706,single,42.95547514,99.67,0.07,fresh,cold-freezing
GCA_020245755.1,Microcystis sp. M034S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4359208,single,42.99003397,99.67,0,fresh,cold-freezing
GCA_020245785.1,Microcystis sp. M025S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4580428,single,42.87116837,99.23,0.29,fresh,cold-freezing
GCA_020245805.1,Microcystis sp. M179S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4970139,single,42.6327312,97.92,0.26,fresh,cold-freezing
GCA_020245845.1,Microcystis sp. M172S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4653014,single,42.91835357,99.23,0.07,fresh,cold-freezing
GCA_020245865.1,Microcystis sp. M169S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4655797,single,43.10297464,99.01,0.07,fresh,cold-freezing
